"","county","total_damage","num_damage_owners","num_owners_grant","total_approvedIhp_owners","fips","State"
"1","albany",2696216.1,811,764,2453142.15,"036001","NY"
"2","allegany",525559.88,263,234,464861.92,"036003","NY"
"3","bronx",33053028.19,5577,4857,28623129.34,"036005","NY"
"4","broome",72587361.73,9444,8887,45430266.19,"036007","NY"
"5","cattaraugus",2808283.23,593,528,1949139.37,"036009","NY"
"6","cayuga",91591.88,60,117,135094,"036011","NY"
"7","chautauqua",2852728.78,270,303,1996880.27,"036013","NY"
"8","chemung",699193.35,208,170,464996.29,"036015","NY"
"9","chenango",9097476.48,1819,1599,5912257.81,"036017","NY"
"10","clinton",842836.35,257,204,729458.8,"036019","NY"
"11","columbia",562406.04,189,148,445121.66,"036021","NY"
"12","cortland",681306.76,305,258,495231.3,"036023","NY"
"13","delaware",17212557.18,2388,2164,8607480.85,"036025","NY"
"14","dutchess",7490760.58,2541,2231,6850454.95,"036027","NY"
"15","erie",11451868.03,7133,7548,9434413.71,"036029","NY"
"16","essex",2694482.91,295,263,2047180.63,"036031","NY"
"17","franklin",0,0,0,0,"036033","NY"
"18","fulton",195385.37,106,86,206651.83,"036035","NY"
"19","genesee",97997.56,66,69,72209.14,"036037","NY"
"20","greene",10769534.72,887,793,5657562.7,"036039","NY"
"21","hamilton",0,0,0,0,"036041","NY"
"22","herkimer",1791172.66,726,621,1373030.14,"036043","NY"
"23","jefferson",0,0,0,0,"036045","NY"
"24","kings",221486047.79,22596,21602,192433369.59,"036047","NY"
"25","lewis",0,0,0,0,"036049","NY"
"26","livingston",146898.92,45,50,134261.99,"036051","NY"
"27","madison",65468.13,23,31,84126.58,"036053","NY"
"28","monroe",11308404.22,5330,5349,8607779.43,"036055","NY"
"29","montgomery",4772919.42,771,715,3128407.38,"036057","NY"
"30","nassau",644663240.919999,40325,34349,286176980.44,"036059","NY"
"31","new york",3884543.33,371,805,4730322.54,"036061","NY"
"32","niagara",519285.25,338,386,507551.86,"036063","NY"
"33","oneida",1575430.87,559,475,1246355.49,"036065","NY"
"34","onondaga",408222.73,212,267,499063.48,"036067","NY"
"35","ontario",194075.44,96,127,194768.91,"036069","NY"
"36","orange",27943117.44,6280,5353,22499926.43,"036071","NY"
"37","orleans",87051.54,66,64,82003.98,"036073","NY"
"38","oswego",569652.93,362,651,699728.27,"036075","NY"
"39","otsego",6386084.24,1479,1337,4124284.53,"036077","NY"
"40","putnam",1972794.89,516,427,1499049.69,"036079","NY"
"41","queens",380124691.75,29719,28395,244988380.97,"036081","NY"
"42","rensselaer",2328920.85,545,435,1721501.31,"036083","NY"
"43","richmond",191864848.25,16151,14129,114511289.25,"036085","NY"
"44","rockland",16234247.26,3540,2705,11322246.23,"036087","NY"
"45","saratoga",2272150.73,251,207,1079246.85,"036091","NY"
"46","schenectady",4693673.45,608,534,3226552.18,"036093","NY"
"47","schoharie",21082940.48,1127,1168,9377476.14,"036095","NY"
"48","schuyler",96361.92,30,29,59340,"036097","NY"
"49","seneca",12682.93,9,7,16479.27,"036099","NY"
"50","st. lawrence",0,0,0,0,"036089","NY"
"51","steuben",775746.12,289,248,572324.1,"036101","NY"
"52","suffolk",190260957.01,13747,10156,77989792.3,"036103","NY"
"53","sullivan",5672365.73,1179,985,3304475.1,"036105","NY"
"54","tioga",29960242.73,2693,2484,13452870.26,"036107","NY"
"55","tompkins",0,0,0,0,"036109","NY"
"56","ulster",16665348.07,2900,2546,11432566.84,"036111","NY"
"57","warren",269360.6,69,58,251551.55,"036113","NY"
"58","washington",845506.93,160,153,754594.24,"036115","NY"
"59","wayne",694182.48,363,661,764217.19,"036117","NY"
"60","westchester",72598439.3,12849,10733,53883542.24,"036119","NY"
"61","wyoming",0,0,0,0,"036121","NY"
"62","yates",11775.13,8,10,26575.71,"036123","NY"
